topology,nodes,edges,method,k,objective,time_sec
UniNet,13,18,Greedy,3,0.0,0.0
UniNet,13,18,LocalSearch,3,0.0,0.0
UniNet,13,18,ILP,3,0.0,0.01900005340576172
Compuserve,14,17,Greedy,3,0.0,0.0
Compuserve,14,17,LocalSearch,3,0.0,0.0009999275207519531
Compuserve,14,17,ILP,3,0.0,0.026000022888183594
ILAN,14,15,Greedy,3,32.00908453547027,0.0
ILAN,14,15,LocalSearch,3,32.00908453547027,0.0009999275207519531
ILAN,14,15,ILP,3,32.00908453547027,0.02500009536743164
NORDU,14,13,Greedy,3,634.8786052356868,0.0
NORDU,14,13,LocalSearch,3,634.8786052356868,0.0
NORDU,14,13,ILP,3,634.8786052356868,0.018999814987182617
Claranet,15,18,Greedy,3,496.4834421237201,0.0
Claranet,15,18,LocalSearch,3,396.5646472309541,0.0
Claranet,15,18,ILP,3,396.56464723095405,0.02500009536743164
euNetworks ,15,16,Greedy,3,0.0,0.0
euNetworks ,15,16,LocalSearch,3,0.0,0.0
euNetworks ,15,16,ILP,3,0.0,0.02500009536743164
Hibernia Atlantic (UK),15,15,Greedy,3,97.50616734337198,0.0
Hibernia Atlantic (UK),15,15,LocalSearch,3,77.73304256598117,0.0
Hibernia Atlantic (UK),15,15,ILP,3,77.73304256598117,0.020999908447265625
PADI2,15,6,Greedy,3,0.0,0.0
PADI2,15,6,LocalSearch,3,0.0,0.0
PADI2,15,6,ILP,3,0.0,0.020999908447265625
SpiraLight,15,16,Greedy,3,49.1688172910884,0.0
SpiraLight,15,16,LocalSearch,3,8.623754450501186,0.0
SpiraLight,15,16,ILP,3,8.623754450501186,0.02200007438659668
Airtel,16,26,Greedy,3,10510.571392759715,0.0
Airtel,16,26,LocalSearch,3,10510.571392759715,0.0
Airtel,16,26,ILP,3,10510.571392759715,0.023999929428100586
GARR,16,18,Greedy,3,263.91670866160894,0.0
GARR,16,18,LocalSearch,3,263.91670866160894,0.0
GARR,16,18,ILP,3,263.91670866160894,0.02200007438659668
GRENA,16,15,Greedy,3,100.83996449864176,0.0
GRENA,16,15,LocalSearch,3,61.72619443721388,0.0
GRENA,16,15,ILP,3,61.72619443721388,0.023999929428100586
Hostway International,16,21,Greedy,3,1891.0668373963908,0.0
Hostway International,16,21,LocalSearch,3,214.17826012225248,0.0
Hostway International,16,21,ILP,3,214.17826012225248,0.01699995994567871
KentMan,16,17,Greedy,3,16.371840168928987,0.0
KentMan,16,17,LocalSearch,3,8.067728193171025,0.0
KentMan,16,17,ILP,3,8.067728193171027,0.023000001907348633
MARWAN,16,17,Greedy,3,30.89905102963682,0.0
MARWAN,16,17,LocalSearch,3,30.89905102963682,0.0
MARWAN,16,17,ILP,3,30.89905102963682,0.019999980926513672
peer1,16,20,Greedy,3,0.0,0.0
peer1,16,20,LocalSearch,3,0.0,0.0
peer1,16,20,ILP,3,0.0,0.07200002670288086
RHnet,16,18,Greedy,3,18.200204202898366,0.0
RHnet,16,18,LocalSearch,3,18.200204202898366,0.0
RHnet,16,18,ILP,3,18.200204202898366,0.023999929428100586
FatMan,17,21,Greedy,3,123.28056910996821,0.0
FatMan,17,21,LocalSearch,3,123.28056910996821,0.0
FatMan,17,21,ILP,3,123.2805691099682,0.026999950408935547
GoodNet,17,31,Greedy,3,244.5097844134047,0.0
GoodNet,17,31,LocalSearch,3,244.5097844134047,0.0
GoodNet,17,31,ILP,3,244.5097844134047,0.026000022888183594
Nextgen ,17,19,Greedy,3,450.53041030899385,0.0
Nextgen ,17,19,LocalSearch,3,428.40347151411123,0.0
Nextgen ,17,19,ILP,3,428.4034715141112,0.01900005340576172
ANS,18,25,Greedy,3,1036.816516259782,0.0
