topology,nodes,edges,method,k,objective,time_sec
INS IXC Services ,33,41,Greedy,3,634.6021801047812,0.0
INS IXC Services ,33,41,LocalSearch,3,515.3177573279586,0.0009999275207519531
INS IXC Services ,33,41,ILP,3,515.3177573279586,0.05900001525878906
Renater,33,43,Greedy,3,338.57063553377,0.0
Renater,33,43,LocalSearch,3,230.4349871783284,0.0
Renater,33,43,ILP,3,230.4349871783284,0.053999900817871094
Renater,33,43,Greedy,3,338.57063553377,0.0
Renater,33,43,LocalSearch,3,230.4349871783284,0.0
Renater,33,43,ILP,3,230.4349871783284,0.054000139236450195
ARNES,34,46,Greedy,3,0.0,0.0
ARNES,34,46,LocalSearch,3,0.0,0.0009999275207519531
ARNES,34,46,ILP,3,0.0,0.06300020217895508
GEANT,34,52,Greedy,3,1095.7259125155385,0.0
GEANT,34,52,LocalSearch,3,1095.7259125155385,0.0
GEANT,34,52,ILP,3,1095.7259125155385,0.07000017166137695
Xspedius,34,49,Greedy,3,1414.9310153765002,0.0
Xspedius,34,49,LocalSearch,3,1066.3725763573254,0.0
Xspedius,34,49,ILP,3,1066.3725763573254,0.07800006866455078
GTS Slovakia,35,37,Greedy,3,76.56937071317732,0.0
GTS Slovakia,35,37,LocalSearch,3,76.56937071317729,0.0010001659393310547
GTS Slovakia,35,37,ILP,3,76.5693707131773,0.056999921798706055
Network USA ,35,39,Greedy,3,727.8034399904924,0.0
Network USA ,35,39,LocalSearch,3,512.8332124621738,0.0
Network USA ,35,39,ILP,3,512.8332124621738,0.059999942779541016
BT North America,36,76,Greedy,3,2651.7231773495782,0.0
BT North America,36,76,LocalSearch,3,1807.1390132104427,0.0
BT North America,36,76,ILP,3,1807.1390132104427,0.0710000991821289
CWIX,36,41,Greedy,3,2270.51629221837,0.0
CWIX,36,41,LocalSearch,3,2270.5162922183695,0.0
CWIX,36,41,ILP,3,2270.51629221837,0.07299995422363281
NIIF,36,41,Greedy,3,261.68896439381996,0.0
NIIF,36,41,LocalSearch,3,261.68896439381996,0.0
NIIF,36,41,ILP,3,261.68896439381996,0.06699991226196289
PIONIER,36,41,Greedy,3,966.0392565614354,0.0
PIONIER,36,41,LocalSearch,3,812.9768550174066,0.0
PIONIER,36,41,ILP,3,812.9768550174064,0.07800006866455078
Zamren,36,34,Greedy,3,0.0,0.0
Zamren,36,34,LocalSearch,3,0.0,0.0009999275207519531
Zamren,36,34,ILP,3,0.0,0.06200003623962402
BREN,37,38,Greedy,3,336.38703658882594,0.0
BREN,37,38,LocalSearch,3,271.7910192615054,0.0
BREN,37,38,ILP,3,271.79101926150554,0.0690000057220459
EvoLink,37,45,Greedy,3,452.0079976042403,0.0
EvoLink,37,45,LocalSearch,3,383.50937319956535,0.0009999275207519531
EvoLink,37,45,ILP,3,383.50937319956523,0.06700015068054199
GEANT,37,56,Greedy,3,2381.3009208495064,0.0
GEANT,37,56,LocalSearch,3,1732.3672383138999,0.0
GEANT,37,56,ILP,3,1732.3672383139,0.07400012016296387
GRnet,37,42,Greedy,3,586.8580119955639,0.0
GRnet,37,42,LocalSearch,3,494.48602886991114,0.0
GRnet,37,42,ILP,3,494.4860288699112,0.07599997520446777
IIJ,37,65,Greedy,3,3570.393182313751,0.0
IIJ,37,65,LocalSearch,3,3570.393182313751,0.0009999275207519531
IIJ,37,65,ILP,3,3570.393182313751,0.07200002670288086
Myren,37,39,Greedy,3,586.7543853497222,0.0
Myren,37,39,LocalSearch,3,586.754385349722,0.0
Myren,37,39,ILP,3,586.754385349722,0.0709998607635498
Reuna,37,36,Greedy,3,1200.6226648258494,0.0
Reuna,37,36,LocalSearch,3,1200.6226648258498,0.0009999275207519531
Reuna,37,36,ILP,3,1200.6226648258494,0.06400012969970703
KentMan,38,38,Greedy,3,65.58259602620296,0.0
KentMan,38,38,LocalSearch,3,45.19018697013717,0.0010001659393310547
KentMan,38,38,ILP,3,45.19018697013717,0.09099984169006348
PIONIER,38,45,Greedy,3,554.5576363314094,0.0
PIONIER,38,45,LocalSearch,3,497.9181890932123,0.0
PIONIER,38,45,ILP,3,497.9181890932123,0.07400012016296387
CESNET,39,44,Greedy,3,338.0708625715079,0.0
CESNET,39,44,LocalSearch,3,316.47888797621147,0.0010001659393310547
CESNET,39,44,ILP,3,316.4788879762115,0.07499980926513672
CESNET,39,44,Greedy,3,338.0708625715079,0.0
CESNET,39,44,LocalSearch,3,316.47888797621147,0.0
CESNET,39,44,ILP,3,316.4788879762115,0.07700014114379883
Deutsche Telekom ,39,62,Greedy,3,0.0,0.0
Deutsche Telekom ,39,62,LocalSearch,3,0.0,0.0
Deutsche Telekom ,39,62,ILP,3,0.0,0.0840001106262207
ValleyNet,39,51,Greedy,3,622.0512117160063,0.0
ValleyNet,39,51,LocalSearch,3,280.1027370001208,0.0
ValleyNet,39,51,ILP,3,280.1027370001209,0.07499980926513672
GEANT,40,61,Greedy,3,2544.4446615784086,0.0
GEANT,40,61,LocalSearch,3,2150.977053016685,0.0009999275207519531
GEANT,40,61,ILP,3,2150.977053016685,0.08300018310546875
Cernet,41,58,Greedy,3,1626.3395703437352,0.0
Cernet,41,58,LocalSearch,3,1549.578746664448,0.0009999275207519531
Cernet,41,58,ILP,3,1549.578746664448,0.08700013160705566
China Telecom ,42,66,Greedy,3,3622.1311891174046,0.0
China Telecom ,42,66,LocalSearch,3,2539.2797097918174,0.0
China Telecom ,42,66,ILP,3,2539.2797097918183,0.09099984169006348
Lambdanet ,42,46,Greedy,3,226.87861999940063,0.0
Lambdanet ,42,46,LocalSearch,3,79.01457996152136,0.0
Lambdanet ,42,46,ILP,3,79.01457996152133,0.09099984169006348
RoEduNet,42,46,Greedy,3,913.9508766182073,0.0
RoEduNet,42,46,LocalSearch,3,667.3756611814197,0.0
RoEduNet,42,46,ILP,3,667.3756611814197,0.08500003814697266
SWITCH,42,63,Greedy,3,148.1778791394744,0.0
SWITCH,42,63,LocalSearch,3,148.17787913947444,0.0
SWITCH,42,63,ILP,3,148.17787913947438,0.08899998664855957
LITNET,43,43,Greedy,3,266.01572693716054,0.0
LITNET,43,43,LocalSearch,3,266.01572693716054,0.0009999275207519531
LITNET,43,43,ILP,3,266.0157269371606,0.1119999885559082
Renater,43,56,Greedy,3,262.88778696193975,0.0
Renater,43,56,LocalSearch,3,262.8877869619397,0.0
Renater,43,56,ILP,3,262.8877869619397,0.08800005912780762
SANET,43,45,Greedy,3,443.11076104500086,0.0
SANET,43,45,LocalSearch,3,310.91081972146674,0.0
SANET,43,45,ILP,3,310.91081972146685,0.0820000171661377
Carnet,44,43,Greedy,3,337.4766394189814,0.0
Carnet,44,43,LocalSearch,3,337.4766394189814,0.0
Carnet,44,43,ILP,3,337.4766394189814,0.09500002861022949
CESNET,44,51,Greedy,3,224.84012243989403,0.0
CESNET,44,51,LocalSearch,3,223.54541024195757,0.0
CESNET,44,51,ILP,3,223.54541024195754,0.09200000762939453
PalmettoNet ,45,64,Greedy,3,173.1440810790001,0.0009999275207519531
PalmettoNet ,45,64,LocalSearch,3,111.35209071994589,0.0
PalmettoNet ,45,64,ILP,3,111.3520907199459,0.10500001907348633
NTT,47,63,Greedy,3,0.0,0.0
NTT,47,63,LocalSearch,3,0.0,0.0
NTT,47,63,ILP,3,0.0,0.1119999885559082
Bell Canada,48,64,Greedy,3,904.7259092167245,0.0
Bell Canada,48,64,LocalSearch,3,492.3494513222418,0.0
Bell Canada,48,64,ILP,3,492.3494513222418,0.1099998950958252
NTELOS ,48,58,Greedy,3,0.0,0.0
NTELOS ,48,58,LocalSearch,3,0.0,0.0
NTELOS ,48,58,ILP,3,0.0,0.11500000953674316
RoEduNet,48,52,Greedy,3,827.0253086404756,0.0
RoEduNet,48,52,LocalSearch,3,816.6378504990316,0.0009999275207519531
RoEduNet,48,52,ILP,3,816.6378504990317,0.1119999885559082
UUNET,49,84,Greedy,3,2636.018803798216,0.0
UUNET,49,84,LocalSearch,3,2636.018803798216,0.0009999275207519531
UUNET,49,84,ILP,3,2636.018803798216,0.15600013732910156
SURFNET,50,68,Greedy,3,24.47396357137008,0.0
SURFNET,50,68,LocalSearch,3,24.47396357137008,0.0
SURFNET,50,68,ILP,3,24.47396357137008,0.1510000228881836
Bell South ,51,66,Greedy,3,1955.3427596857057,0.0
Bell South ,51,66,LocalSearch,3,1903.6243620703103,0.0009999275207519531
Bell South ,51,66,ILP,3,1903.6243620703103,0.14100003242492676
BT Latin America,51,50,Greedy,3,0.0,0.0
BT Latin America,51,50,LocalSearch,3,0.0,0.0
BT Latin America,51,50,ILP,3,0.0,0.12899994850158691
CUDI,51,52,Greedy,3,63.037537464047766,0.0
CUDI,51,52,LocalSearch,3,60.23001875262073,0.0
CUDI,51,52,ILP,3,60.23001875262071,0.12199997901916504
IRIS Networks ,51,64,Greedy,3,482.1186020475008,0.0
IRIS Networks ,51,64,LocalSearch,3,234.67872340836817,0.0
IRIS Networks ,51,64,ILP,3,234.6787234083682,0.1360001564025879
CESNET,52,63,Greedy,3,384.91135834461244,0.0
CESNET,52,63,LocalSearch,3,351.9305404877783,0.0010001659393310547
CESNET,52,63,ILP,3,351.93054048777833,0.13699984550476074
BTN ,53,65,Greedy,3,4310.377115551868,0.0
BTN ,53,65,LocalSearch,3,3750.842215349249,0.002000093460083008
BTN ,53,65,ILP,3,3750.8422153492484,0.1380000114440918
Tinet,53,89,Greedy,3,4633.618395907575,0.0
Tinet,53,89,LocalSearch,3,2475.4260556886284,0.0
Tinet,53,89,ILP,3,2475.4260556886284,0.1640000343322754
GARR,54,68,Greedy,3,1111.2110919887573,0.0
GARR,54,68,LocalSearch,3,960.7455362911884,0.0
GARR,54,68,ILP,3,960.7455362911885,0.1530001163482666
GARR,54,68,Greedy,3,1111.2110919887573,0.0
GARR,54,68,LocalSearch,3,960.7455362911884,0.0009999275207519531
GARR,54,68,ILP,3,960.7455362911885,0.14700007438659668
GARR,54,68,Greedy,3,1112.5135972343876,0.0
GARR,54,68,LocalSearch,3,971.2292108400552,0.0
GARR,54,68,ILP,3,971.2292108400551,0.1380000114440918
GARR,54,68,Greedy,3,1112.5135972343876,0.0
GARR,54,68,LocalSearch,3,971.2292108400552,0.0009999275207519531
GARR,54,68,ILP,3,971.2292108400551,0.15200018882751465
GARR,54,68,Greedy,3,1112.5135972343876,0.0
GARR,54,68,LocalSearch,3,971.2292108400552,0.0009999275207519531
GARR,54,68,ILP,3,971.2292108400551,0.1510000228881836
GARR,54,68,Greedy,3,1112.5135972343876,0.0
GARR,54,68,LocalSearch,3,971.2292108400552,0.0009999275207519531
GARR,54,68,ILP,3,971.2292108400551,0.17100000381469727
GARR,55,69,Greedy,3,1138.9966118215532,0.0
GARR,55,69,LocalSearch,3,977.1616919649299,0.0
GARR,55,69,ILP,3,977.1616919649297,0.15700006484985352
GARR,55,69,Greedy,3,1144.43514255292,0.0
GARR,55,69,LocalSearch,3,982.8321596467754,0.0010001659393310547
GARR,55,69,ILP,3,982.8321596467754,0.14800000190734863
GARR,55,69,Greedy,3,1148.3119021732018,0.0
GARR,55,69,LocalSearch,3,969.3732064720981,0.0010001659393310547
GARR,55,69,ILP,3,969.3732064720979,0.16199994087219238
GARR,55,69,Greedy,3,1148.3119021732018,0.0
GARR,55,69,LocalSearch,3,969.3732064720981,0.0010001659393310547
GARR,55,69,ILP,3,969.3732064720979,0.14499998092651367
Hibernia Atlantic ,55,81,Greedy,3,3327.317889838586,0.0
Hibernia Atlantic ,55,81,LocalSearch,3,1563.3495867099825,0.0009999275207519531
Hibernia Atlantic ,55,81,ILP,3,1563.349586709982,0.15899991989135742
GARR,56,70,Greedy,3,1165.0454523393591,0.0
GARR,56,70,LocalSearch,3,992.1140269586575,0.0009999275207519531
GARR,56,70,ILP,3,992.1140269586576,0.15700006484985352
GARR,56,70,Greedy,3,1165.0454523393591,0.0
GARR,56,70,LocalSearch,3,992.1140269586575,0.0010001659393310547
GARR,56,70,ILP,3,992.1140269586576,0.14999985694885254
GARR,56,70,Greedy,3,1165.0454523393591,0.0
GARR,56,70,LocalSearch,3,992.1140269586575,0.0009999275207519531
GARR,56,70,ILP,3,992.1140269586576,0.15899991989135742
GARR,57,71,Greedy,3,1149.4059898551252,0.0
GARR,57,71,LocalSearch,3,996.748456068632,0.0009999275207519531
GARR,57,71,ILP,3,996.7484560686322,0.1700000762939453
DFN,58,87,Greedy,3,541.7893495441812,0.0
DFN,58,87,LocalSearch,3,541.7893495441812,0.0009999275207519531
DFN,58,87,ILP,3,541.7893495441812,0.18800020217895508
GARR,58,72,Greedy,3,1173.5560999168094,0.0
GARR,58,72,LocalSearch,3,991.4211564918184,0.0019998550415039062
GARR,58,72,ILP,3,991.4211564918182,0.17100000381469727
GARR,59,74,Greedy,3,1207.8850739871239,0.0
GARR,59,74,LocalSearch,3,964.4460093930231,0.0010001659393310547
GARR,59,74,ILP,3,964.446009393023,0.18400001525878906
GARR,59,74,Greedy,3,1228.631527494662,0.0
GARR,59,74,LocalSearch,3,960.4941532929203,0.0009999275207519531
GARR,59,74,ILP,3,960.4941532929207,0.18199992179870605
GARR,59,74,Greedy,3,1228.631527494662,0.0
GARR,59,74,LocalSearch,3,960.4941532929203,0.0009999275207519531
GARR,59,74,ILP,3,960.4941532929207,0.1919999122619629
GARR,59,74,Greedy,3,1228.631527494662,0.0
GARR,59,74,LocalSearch,3,960.4941532929203,0.0009999275207519531
GARR,59,74,ILP,3,960.4941532929207,0.18799996376037598
GARR,59,74,Greedy,3,1228.6022523901236,0.0
GARR,59,74,LocalSearch,3,960.5717330270917,0.002000093460083008
GARR,59,74,ILP,3,960.5717330270918,0.17799997329711914
GARR,59,74,Greedy,3,1228.6022523901236,0.0
GARR,59,74,LocalSearch,3,960.5717330270917,0.0010001659393310547
GARR,59,74,ILP,3,960.5717330270918,0.17300009727478027
GARR,60,74,Greedy,3,1115.456766830038,0.0
GARR,60,74,LocalSearch,3,937.2069144449755,0.0010001659393310547
GARR,60,74,ILP,3,937.2069144449754,0.18199992179870605
GARR,61,75,Greedy,3,1165.8637503587474,0.0
GARR,61,75,LocalSearch,3,1023.2992841247365,0.0009999275207519531
GARR,61,75,ILP,3,1023.2992841247367,0.8239998817443848
GARR,61,75,Greedy,3,1165.8637503587474,0.0009999275207519531
GARR,61,75,LocalSearch,3,1023.2992841247365,0.0010001659393310547
GARR,61,75,ILP,3,1023.2992841247367,0.7689998149871826
FORTHNET,62,62,Greedy,3,908.337466128526,0.0
FORTHNET,62,62,LocalSearch,3,908.3374661285262,0.0009999275207519531
FORTHNET,62,62,ILP,3,908.3374661285263,0.2070000171661377
US Signal,63,78,Greedy,3,0.0,0.0
US Signal,63,78,LocalSearch,3,0.0,0.0009999275207519531
US Signal,63,78,ILP,3,0.0,0.17499995231628418
ASNET-AM,65,77,Greedy,3,74.21142545637683,0.0
ASNET-AM,65,77,LocalSearch,3,72.51500455465788,0.002000093460083008
ASNET-AM,65,77,ILP,3,72.51500455465789,0.2389998435974121
Internode,66,77,Greedy,3,19473.513373541195,0.0
Internode,66,77,LocalSearch,3,18461.716060617877,0.002000093460083008
Internode,66,77,ILP,3,18461.716060617877,0.2239999771118164
GlobeNet,67,95,Greedy,3,10123.901445174371,0.0
GlobeNet,67,95,LocalSearch,3,10123.901445174371,0.0019998550415039062
GlobeNet,67,95,ILP,3,10123.901445174371,0.22300004959106445
Missouri Network Alliance ,67,83,Greedy,3,757.5552055353894,0.0
Missouri Network Alliance ,67,83,LocalSearch,3,732.6360540436714,0.002000093460083008
Missouri Network Alliance ,67,83,ILP,3,732.6360540436716,0.24099993705749512
ESnet,68,79,Greedy,3,5080.4188233639,0.0
ESnet,68,79,LocalSearch,3,5063.485458716885,0.0009999275207519531
ESnet,68,79,ILP,3,5063.485458716885,0.21499991416931152
LATNET,69,74,Greedy,3,305.19168311675713,0.0
LATNET,69,74,LocalSearch,3,303.7254291910352,0.0009999275207519531
LATNET,69,74,ILP,3,303.7254291910353,0.26600003242492676
Uninett,69,96,Greedy,3,2001.2947995605018,0.0
Uninett,69,96,LocalSearch,3,1195.023558971871,0.0019998550415039062
Uninett,69,96,ILP,3,1195.023558971871,0.25300002098083496
Columbus Networks,70,85,Greedy,3,6138.305686439501,0.0
Columbus Networks,70,85,LocalSearch,3,4411.5724132256555,0.002000093460083008
Columbus Networks,70,85,ILP,3,4411.5724132256555,0.252000093460083
Intellifiber,73,95,Greedy,3,1651.7388781787085,0.0
Intellifiber,73,95,LocalSearch,3,1037.9137339441822,0.002000093460083008
Intellifiber,73,95,ILP,3,1037.9137339441827,0.2949998378753662
Tecove (level3),73,70,Greedy,3,0.0,0.0
Tecove (level3),73,70,LocalSearch,3,0.0,0.0
Tecove (level3),73,70,ILP,3,0.0,0.27900004386901855
Sinet,74,76,Greedy,3,874.4796168588992,0.0
Sinet,74,76,LocalSearch,3,792.7994501443778,0.002000093460083008
Sinet,74,76,ILP,3,792.7994501443776,0.28299999237060547
SWITCH,74,92,Greedy,3,686.6627630894214,0.0
SWITCH,74,92,LocalSearch,3,547.0720566245419,0.0019998550415039062
SWITCH,74,92,ILP,3,547.0720566245419,0.31400012969970703
Syringa Networks,74,74,Greedy,3,1046.9938248080073,0.0
Syringa Networks,74,74,LocalSearch,3,1005.1533950414424,0.003000020980834961
Syringa Networks,74,74,ILP,3,1005.1533950414425,0.3210000991821289
Uninett,74,101,Greedy,3,2037.4838575831798,0.0
Uninett,74,101,LocalSearch,3,1269.557784387598,0.0
Uninett,74,101,ILP,3,1269.557784387598,0.3130002021789551
TW Telecom,76,115,Greedy,3,0.0,0.0
TW Telecom,76,115,LocalSearch,3,0.0,0.0
TW Telecom,76,115,ILP,3,0.0,0.2890000343322754
ULAKNET,82,82,Greedy,3,697.6170065852052,0.0
ULAKNET,82,82,LocalSearch,3,697.6170065852053,0.002000093460083008
ULAKNET,82,82,ILP,3,697.6170065852052,0.3689999580383301
Bestel ,84,93,Greedy,3,3690.621796375531,0.0
Bestel ,84,93,LocalSearch,3,3460.4649695010635,0.0
Bestel ,84,93,ILP,3,3460.4649695010626,0.4739999771118164
Viatel,88,92,Greedy,3,2138.6906147817867,0.0
Viatel,88,92,LocalSearch,3,1889.454057799148,0.002000093460083008
Viatel,88,92,ILP,3,1889.4540577991474,0.45399999618530273
Viatel,92,96,Greedy,3,2520.6415875488456,0.0
Viatel,92,96,LocalSearch,3,1886.1808275812184,0.0029997825622558594
Viatel,92,96,ILP,3,1886.1808275812182,0.5360000133514404
OTEGlobe ,93,103,Greedy,3,0.0,0.0
OTEGlobe ,93,103,LocalSearch,3,0.0,0.0009999275207519531
OTEGlobe ,93,103,ILP,3,0.0,0.49899983406066895
Interroute ,110,146,Greedy,3,4238.200199520417,0.0
Interroute ,110,146,LocalSearch,3,4238.200199520417,0.003999948501586914
Interroute ,110,146,ILP,3,4238.200199520416,0.8169999122619629
ITC Deltacom ,113,161,Greedy,3,249.67669188831593,0.0
ITC Deltacom ,113,161,LocalSearch,3,249.67669188831596,0.003000020980834961
ITC Deltacom ,113,161,ILP,3,249.67669188831593,0.9099998474121094
ION,125,146,Greedy,3,2270.922358322214,0.0
ION,125,146,LocalSearch,3,2270.922358322214,0.004999876022338867
ION,125,146,ILP,3,2270.9223583222147,1.063000202178955
PERN,127,129,Greedy,3,1615.9748877287784,0.0
PERN,127,129,LocalSearch,3,1615.9748877287786,0.003000020980834961
PERN,127,129,ILP,3,1615.9748877287782,1.0949997901916504
TATA,145,186,Greedy,3,4889.81349589936,0.0
TATA,145,186,LocalSearch,3,4830.908029945476,0.00800013542175293
TATA,145,186,ILP,3,4830.908029945477,1.7969999313354492
GTS CE,149,193,Greedy,3,5395.114626929733,0.0
GTS CE,149,193,LocalSearch,3,5395.114626929731,0.003999948501586914
GTS CE,149,193,ILP,3,5395.114626929734,1.8799998760223389
Colt Telecom ,153,177,Greedy,3,6361.8800090573695,0.0
Colt Telecom ,153,177,LocalSearch,3,4786.5867880889555,0.007999897003173828
US Carrier,158,189,Greedy,3,5873.743975160091,0.0
US Carrier,158,189,LocalSearch,3,4023.096290568036,0.00800013542175293
Dial Telecom ,193,151,Greedy,3,0.0,0.0009999275207519531
Dial Telecom ,193,151,LocalSearch,3,0.0,0.003000020980834961
Cogent ,197,243,Greedy,3,13035.366933291518,0.0
Cogent ,197,243,LocalSearch,3,9480.81557791029,0.009999990463256836
Kentucky Datalink ,754,895,Greedy,3,27996.312852186747,0.003000020980834961
Kentucky Datalink ,754,895,LocalSearch,3,19622.026835024386,0.08800005912780762
