topology,nodes,k,method,objective,pct_above_best,time_sec
BASNET,7,3,Betweenness,307.34,125.82,0.0
BASNET,7,3,HighDegree,307.34,125.82,0.0
BASNET,7,3,Random,136.1,0.0,0.0
BASNET,7,5,Greedy,14.09,0.0,0.0
BASNET,7,5,LocalSearch,14.09,0.0,0.0
BASNET,7,5,Betweenness,173.3,1130.01,0.0
BASNET,7,5,HighDegree,173.3,1130.01,0.0
BASNET,7,5,Random,14.09,0.0,0.0
GetNet,7,1,Greedy,8135.16,0.0,0.0
GetNet,7,1,LocalSearch,8135.16,0.0,0.0
GetNet,7,1,Betweenness,11078.9,36.19,0.0
GetNet,7,1,HighDegree,11078.9,36.19,0.0
GetNet,7,1,Random,8135.16,0.0,0.0
GetNet,7,3,Greedy,0.0,0.0,0.0
GetNet,7,3,LocalSearch,0.0,0.0,0.0
GetNet,7,3,Betweenness,0.0,0.0,0.0
GetNet,7,3,HighDegree,0.0,0.0,0.0
GetNet,7,3,Random,0.0,0.0,0.0
GetNet,7,5,Greedy,0.0,0.0,0.0
GetNet,7,5,LocalSearch,0.0,0.0,0.0
GetNet,7,5,Betweenness,0.0,0.0,0.0
GetNet,7,5,HighDegree,0.0,0.0,0.0
GetNet,7,5,Random,0.0,0.0,0.0
Heanet,7,1,Greedy,391.5,0.0,0.0
Heanet,7,1,LocalSearch,391.5,0.0,0.0
Heanet,7,1,Betweenness,391.5,0.0,0.0
Heanet,7,1,HighDegree,391.5,0.0,0.0
Heanet,7,1,Random,391.5,0.0,0.0
Heanet,7,3,Greedy,0.0,0.0,0.0
Heanet,7,3,LocalSearch,0.0,0.0,0.0
Heanet,7,3,Betweenness,61.66,0.0,0.0
Heanet,7,3,HighDegree,61.66,0.0,0.0
Heanet,7,3,Random,0.0,0.0,0.0
Heanet,7,5,Greedy,0.0,0.0,0.0
Heanet,7,5,LocalSearch,0.0,0.0,0.0
Heanet,7,5,Betweenness,0.0,0.0,0.0
Heanet,7,5,HighDegree,0.0,0.0,0.0
Heanet,7,5,Random,0.0,0.0,0.0
Netrail,7,1,Greedy,3350.11,0.0,0.0
Netrail,7,1,LocalSearch,3350.11,0.0,0.0
Netrail,7,1,Betweenness,3570.89,6.59,0.0
Netrail,7,1,HighDegree,3570.89,6.59,0.0
Netrail,7,1,Random,3350.11,0.0,0.0
Netrail,7,3,Greedy,0.0,0.0,0.0
Netrail,7,3,LocalSearch,0.0,0.0,0.0
Netrail,7,3,Betweenness,2550.0,0.0,0.0
Netrail,7,3,HighDegree,2550.0,0.0,0.0
Netrail,7,3,Random,0.0,0.0,0.0
Netrail,7,5,Greedy,0.0,0.0,0.0
Netrail,7,5,LocalSearch,0.0,0.0,0.0
Netrail,7,5,Betweenness,0.0,0.0,0.0
Netrail,7,5,HighDegree,0.0,0.0,0.0
Netrail,7,5,Random,0.0,0.0,0.0
NORDU,7,1,Greedy,1880.14,0.0,0.0
NORDU,7,1,LocalSearch,1880.14,0.0,0.0
NORDU,7,1,Betweenness,1880.14,0.0,0.0
NORDU,7,1,HighDegree,1880.14,0.0,0.0
NORDU,7,1,Random,1880.14,0.0,0.0
NORDU,7,3,Greedy,292.52,0.0,0.0
NORDU,7,3,LocalSearch,292.52,0.0,0.0
NORDU,7,3,Betweenness,1550.53,430.05,0.0
NORDU,7,3,HighDegree,1550.53,430.05,0.0
NORDU,7,3,Random,333.26,13.93,0.0
NORDU,7,5,Greedy,0.0,0.0,0.0
NORDU,7,5,LocalSearch,0.0,0.0,0.0
NORDU,7,5,Betweenness,292.52,0.0,0.0
NORDU,7,5,HighDegree,292.52,0.0,0.0
NORDU,7,5,Random,0.0,0.0,0.0
Sanren,7,1,Greedy,1745.89,0.0,0.0
Sanren,7,1,LocalSearch,1745.89,0.0,0.0
Sanren,7,1,Betweenness,1755.03,0.52,0.0
Sanren,7,1,HighDegree,1755.03,0.52,0.0
Sanren,7,1,Random,1745.89,0.0,0.0
Sanren,7,3,Greedy,91.56,0.0,0.0
Sanren,7,3,LocalSearch,91.56,0.0,0.0
Sanren,7,3,Betweenness,1167.63,1175.22,0.0
Sanren,7,3,HighDegree,1167.63,1175.22,0.0
Sanren,7,3,Random,225.74,146.54,0.0
Sanren,7,5,Greedy,17.16,34.21,0.0
Sanren,7,5,LocalSearch,12.78,0.0,0.0
Sanren,7,5,Betweenness,440.13,3342.66,0.0
Sanren,7,5,HighDegree,440.13,3342.66,0.0
Sanren,7,5,Random,12.78,0.0,0.0
GlobalNetRu,8,1,Greedy,2272.08,0.0,0.0
GlobalNetRu,8,1,LocalSearch,2272.08,0.0,0.0
GlobalNetRu,8,1,Betweenness,2272.08,0.0,0.0
GlobalNetRu,8,1,HighDegree,2272.08,0.0,0.0
GlobalNetRu,8,1,Random,2272.08,0.0,0.0
GlobalNetRu,8,3,Greedy,213.75,0.0,0.0
GlobalNetRu,8,3,LocalSearch,213.75,0.0,0.0
GlobalNetRu,8,3,Betweenness,449.78,110.42,0.0
GlobalNetRu,8,3,HighDegree,449.78,110.42,0.0
GlobalNetRu,8,3,Random,213.75,0.0,0.0
GlobalNetRu,8,5,Greedy,0.0,0.0,0.0
GlobalNetRu,8,5,LocalSearch,0.0,0.0,0.0
GlobalNetRu,8,5,Betweenness,379.33,0.0,0.0
GlobalNetRu,8,5,HighDegree,379.33,0.0,0.0
GlobalNetRu,8,5,Random,0.0,0.0,0.0
Hibernia Atlantic (Ireland),8,1,Greedy,503.46,0.0,0.0
Hibernia Atlantic (Ireland),8,1,LocalSearch,503.46,0.0,0.0
