topology,nodes,k,method,objective,pct_above_best,time_sec
Navigata ,13,1,HighDegree,11343.2,26.6,0.0
Navigata ,13,1,Random,8960.05,0.0,0.0
Navigata ,13,3,Greedy,712.56,0.0,0.0
Navigata ,13,3,LocalSearch,712.56,0.0,0.0
Navigata ,13,3,Betweenness,712.56,0.0,0.0
Navigata ,13,3,HighDegree,1196.2,67.87,0.0
Navigata ,13,3,Random,712.56,0.0,0.0
Navigata ,13,5,Greedy,149.97,0.0,0.0
Navigata ,13,5,LocalSearch,149.97,0.0,0.0
Navigata ,13,5,Betweenness,712.56,375.14,0.0
Navigata ,13,5,HighDegree,712.56,375.14,0.0
Navigata ,13,5,Random,245.77,63.88,0.0
NSF,13,1,Greedy,5405.01,0.0,0.0
NSF,13,1,LocalSearch,5405.01,0.0,0.0
NSF,13,1,Betweenness,6512.69,20.49,0.001
NSF,13,1,HighDegree,6512.69,20.49,0.0
NSF,13,1,Random,5405.01,0.0,0.0
NSF,13,3,Greedy,138.16,0.0,0.0
NSF,13,3,LocalSearch,138.16,0.0,0.0
NSF,13,3,Betweenness,4685.6,3291.35,0.0
NSF,13,3,HighDegree,4685.6,3291.35,0.0
NSF,13,3,Random,138.16,0.0,0.0
NSF,13,5,Greedy,0.0,0.0,0.0
NSF,13,5,LocalSearch,0.0,0.0,0.0
NSF,13,5,Betweenness,0.0,0.0,0.0
NSF,13,5,HighDegree,0.0,0.0,0.0
NSF,13,5,Random,0.0,0.0,0.0
UniNet,13,1,Greedy,69.03,0.0,0.0
UniNet,13,1,LocalSearch,69.03,0.0,0.0
UniNet,13,1,Betweenness,69.03,0.0,0.0
UniNet,13,1,HighDegree,69.03,0.0,0.0
UniNet,13,1,Random,69.03,0.0,0.0
UniNet,13,3,Greedy,0.0,0.0,0.0
UniNet,13,3,LocalSearch,0.0,0.0,0.0
UniNet,13,3,Betweenness,44.95,0.0,0.0
UniNet,13,3,HighDegree,44.95,0.0,0.0
UniNet,13,3,Random,0.0,0.0,0.0
UniNet,13,5,Greedy,0.0,0.0,0.0
UniNet,13,5,LocalSearch,0.0,0.0,0.0
UniNet,13,5,Betweenness,44.95,0.0,0.0
UniNet,13,5,HighDegree,44.95,0.0,0.0
UniNet,13,5,Random,0.0,0.0,0.0
Compuserve,14,1,Greedy,1907.83,0.0,0.0
Compuserve,14,1,LocalSearch,1907.83,0.0,0.0
Compuserve,14,1,Betweenness,1907.83,0.0,0.0
Compuserve,14,1,HighDegree,1907.83,0.0,0.0
Compuserve,14,1,Random,1907.83,0.0,0.0
Compuserve,14,3,Greedy,0.0,0.0,0.0
Compuserve,14,3,LocalSearch,0.0,0.0,0.0
Compuserve,14,3,Betweenness,1907.83,0.0,0.0
Compuserve,14,3,HighDegree,1907.83,0.0,0.0
Compuserve,14,3,Random,635.62,0.0,0.0
Compuserve,14,5,Greedy,0.0,0.0,0.0
Compuserve,14,5,LocalSearch,0.0,0.0,0.0
Compuserve,14,5,Betweenness,1907.83,0.0,0.0
Compuserve,14,5,HighDegree,1907.83,0.0,0.0
Compuserve,14,5,Random,0.0,0.0,0.0
ILAN,14,1,Greedy,124.49,0.0,0.0
ILAN,14,1,LocalSearch,124.49,0.0,0.0
ILAN,14,1,Betweenness,130.17,4.56,0.0
ILAN,14,1,HighDegree,130.17,4.56,0.0
ILAN,14,1,Random,124.49,0.0,0.0
ILAN,14,3,Greedy,32.01,0.0,0.0
ILAN,14,3,LocalSearch,32.01,0.0,0.0
ILAN,14,3,Betweenness,110.01,243.68,0.0
ILAN,14,3,HighDegree,110.01,243.68,0.0
ILAN,14,3,Random,32.2,0.59,0.0
ILAN,14,5,Greedy,12.13,98.88,0.0
ILAN,14,5,LocalSearch,6.1,0.0,0.0
ILAN,14,5,Betweenness,109.86,1701.72,0.0
ILAN,14,5,HighDegree,109.86,1701.72,0.0
ILAN,14,5,Random,20.33,233.4,0.0
NORDU,14,1,Greedy,1717.26,0.0,0.0
NORDU,14,1,LocalSearch,1717.26,0.0,0.0
NORDU,14,1,Betweenness,1717.26,0.0,0.001
NORDU,14,1,HighDegree,1717.26,0.0,0.0
NORDU,14,1,Random,1717.26,0.0,0.0
NORDU,14,3,Greedy,634.88,0.0,0.0
NORDU,14,3,LocalSearch,634.88,0.0,0.0
NORDU,14,3,Betweenness,837.17,31.86,0.0
NORDU,14,3,HighDegree,837.17,31.86,0.0
NORDU,14,3,Random,641.41,1.03,0.0
NORDU,14,5,Greedy,234.56,0.0,0.0
NORDU,14,5,LocalSearch,234.56,0.0,0.0
NORDU,14,5,Betweenness,731.47,211.85,0.0
NORDU,14,5,HighDegree,731.47,211.85,0.0
NORDU,14,5,Random,386.33,64.7,0.0
Claranet,15,1,Greedy,4480.87,0.0,0.0
Claranet,15,1,LocalSearch,4480.87,0.0,0.0
Claranet,15,1,Betweenness,4480.87,0.0,0.0
Claranet,15,1,HighDegree,4480.87,0.0,0.0
Claranet,15,1,Random,4480.87,0.0,0.0
Claranet,15,3,Greedy,496.48,25.2,0.0
Claranet,15,3,LocalSearch,396.56,0.0,0.0
Claranet,15,3,Betweenness,502.1,26.61,0.0
Claranet,15,3,HighDegree,502.1,26.61,0.0
Claranet,15,3,Random,502.1,26.61,0.0
Claranet,15,5,Greedy,103.95,0.0,0.0
Claranet,15,5,LocalSearch,103.95,0.0,0.0
Claranet,15,5,Betweenness,211.18,103.16,0.0
Claranet,15,5,HighDegree,211.18,103.16,0.0
Claranet,15,5,Random,196.59,89.13,0.0
euNetworks ,15,1,Greedy,0.0,0.0,0.0
euNetworks ,15,1,LocalSearch,0.0,0.0,0.0
euNetworks ,15,1,Betweenness,2067.31,0.0,0.0
euNetworks ,15,1,HighDegree,2067.31,0.0,0.0
euNetworks ,15,1,Random,0.0,0.0,0.0
euNetworks ,15,3,Greedy,0.0,0.0,0.0
euNetworks ,15,3,LocalSearch,0.0,0.0,0.0
euNetworks ,15,3,Betweenness,872.63,0.0,0.0
euNetworks ,15,3,HighDegree,285.24,0.0,0.0
euNetworks ,15,3,Random,0.0,0.0,0.0
euNetworks ,15,5,Greedy,0.0,0.0,0.0
euNetworks ,15,5,LocalSearch,0.0,0.0,0.0
euNetworks ,15,5,Betweenness,285.24,0.0,0.0
euNetworks ,15,5,HighDegree,285.24,0.0,0.0
euNetworks ,15,5,Random,0.0,0.0,0.0
Hibernia Atlantic (UK),15,1,Greedy,1157.26,0.0,0.0
Hibernia Atlantic (UK),15,1,LocalSearch,1157.26,0.0,0.0
Hibernia Atlantic (UK),15,1,Betweenness,2406.54,107.95,0.0
Hibernia Atlantic (UK),15,1,HighDegree,2406.54,107.95,0.0
Hibernia Atlantic (UK),15,1,Random,1157.26,0.0,0.0
Hibernia Atlantic (UK),15,3,Greedy,97.51,25.44,0.0
Hibernia Atlantic (UK),15,3,LocalSearch,77.73,0.0,0.0
Hibernia Atlantic (UK),15,3,Betweenness,2158.71,2677.08,0.0
Hibernia Atlantic (UK),15,3,HighDegree,77.73,0.0,0.0
Hibernia Atlantic (UK),15,3,Random,77.73,0.0,0.0
Hibernia Atlantic (UK),15,5,Greedy,3.53,0.0,0.0
Hibernia Atlantic (UK),15,5,LocalSearch,3.53,0.0,0.0
Hibernia Atlantic (UK),15,5,Betweenness,997.44,28159.09,0.0
Hibernia Atlantic (UK),15,5,HighDegree,69.85,1878.87,0.0
Hibernia Atlantic (UK),15,5,Random,11.42,223.43,0.0
PADI2,15,1,Greedy,0.0,0.0,0.0
PADI2,15,1,LocalSearch,0.0,0.0,0.0
PADI2,15,1,Betweenness,29.7,0.0,0.0
PADI2,15,1,HighDegree,29.7,0.0,0.0
PADI2,15,1,Random,0.0,0.0,0.0
PADI2,15,3,Greedy,0.0,0.0,0.0
PADI2,15,3,LocalSearch,0.0,0.0,0.0
PADI2,15,3,Betweenness,0.0,0.0,0.0
PADI2,15,3,HighDegree,28.71,0.0,0.0
PADI2,15,3,Random,0.0,0.0,0.0
PADI2,15,5,Greedy,0.0,0.0,0.0
PADI2,15,5,LocalSearch,0.0,0.0,0.0
PADI2,15,5,Betweenness,0.0,0.0,0.0
PADI2,15,5,HighDegree,14.82,0.0,0.0
PADI2,15,5,Random,0.0,0.0,0.0
SpiraLight,15,1,Greedy,741.72,0.0,0.0
SpiraLight,15,1,LocalSearch,741.72,0.0,0.0
SpiraLight,15,1,Betweenness,909.6,22.63,0.0
SpiraLight,15,1,HighDegree,909.6,22.63,0.0
SpiraLight,15,1,Random,764.42,3.06,0.0
SpiraLight,15,3,Greedy,49.17,470.16,0.0
SpiraLight,15,3,LocalSearch,8.62,0.0,0.0
SpiraLight,15,3,Betweenness,142.88,1556.83,0.0
SpiraLight,15,3,HighDegree,775.34,8890.78,0.0
SpiraLight,15,3,Random,8.62,0.0,0.0
SpiraLight,15,5,Greedy,0.0,0.0,0.0
SpiraLight,15,5,LocalSearch,0.0,0.0,0.001
SpiraLight,15,5,Betweenness,142.88,0.0,0.0
SpiraLight,15,5,HighDegree,775.34,0.0,0.0
SpiraLight,15,5,Random,0.0,0.0,0.0
Airtel,16,1,Greedy,43179.85,0.0,0.0
Airtel,16,1,LocalSearch,43179.85,0.0,0.0
Airtel,16,1,Betweenness,58963.22,36.55,0.0
Airtel,16,1,HighDegree,43179.85,0.0,0.0
Airtel,16,1,Random,43179.85,0.0,0.0
Airtel,16,3,Greedy,10510.57,0.0,0.0
Airtel,16,3,LocalSearch,10510.57,0.0,0.0
Airtel,16,3,Betweenness,10510.57,0.0,0.0
Airtel,16,3,HighDegree,10510.57,0.0,0.0
Airtel,16,3,Random,10511.1,0.01,0.0
Airtel,16,5,Greedy,3343.09,0.0,0.0
Airtel,16,5,LocalSearch,3343.09,0.0,0.0
Airtel,16,5,Betweenness,4716.28,41.08,0.0
Airtel,16,5,HighDegree,4716.28,41.08,0.0
Airtel,16,5,Random,3693.09,10.47,0.0
GARR,16,1,Greedy,1632.2,0.0,0.0
GARR,16,1,LocalSearch,1632.2,0.0,0.0
GARR,16,1,Betweenness,1822.54,11.66,0.0
GARR,16,1,HighDegree,1822.54,11.66,0.0
GARR,16,1,Random,1632.2,0.0,0.0
GARR,16,3,Greedy,263.92,0.0,0.0
GARR,16,3,LocalSearch,263.92,0.0,0.0
GARR,16,3,Betweenness,263.92,0.0,0.0
GARR,16,3,HighDegree,263.92,0.0,0.0
GARR,16,3,Random,265.04,0.43,0.0
GARR,16,5,Greedy,77.49,6.53,0.0
GARR,16,5,LocalSearch,72.74,0.0,0.0
GARR,16,5,Betweenness,146.75,101.75,0.0
GARR,16,5,HighDegree,146.75,101.75,0.0
GARR,16,5,Random,100.06,37.56,0.0
GRENA,16,1,Greedy,782.7,0.0,0.0
GRENA,16,1,LocalSearch,782.7,0.0,0.0
GRENA,16,1,Betweenness,813.44,3.93,0.0
GRENA,16,1,HighDegree,813.44,3.93,0.0
GRENA,16,1,Random,782.7,0.0,0.0
GRENA,16,3,Greedy,100.84,63.37,0.0
GRENA,16,3,LocalSearch,61.73,0.0,0.0
GRENA,16,3,Betweenness,106.57,72.65,0.0
GRENA,16,3,HighDegree,61.73,0.0,0.0
GRENA,16,3,Random,61.73,0.0,0.0
GRENA,16,5,Greedy,25.68,14.99,0.0
GRENA,16,5,LocalSearch,22.33,0.0,0.0
GRENA,16,5,Betweenness,98.75,342.18,0.0
GRENA,16,5,HighDegree,61.73,176.39,0.0
GRENA,16,5,Random,27.09,21.32,0.0
Hostway International,16,1,Greedy,26228.07,0.0,0.0
Hostway International,16,1,LocalSearch,26228.07,0.0,0.0
Hostway International,16,1,Betweenness,37182.42,41.77,0.001
Hostway International,16,1,HighDegree,37182.42,41.77,0.0
Hostway International,16,1,Random,26228.07,0.0,0.0
Hostway International,16,3,Greedy,1891.07,782.94,0.0
Hostway International,16,3,LocalSearch,214.18,0.0,0.0
Hostway International,16,3,Betweenness,37182.42,17260.5,0.0
Hostway International,16,3,HighDegree,37182.42,17260.5,0.0
Hostway International,16,3,Random,214.18,0.0,0.0
Hostway International,16,5,Greedy,0.0,0.0,0.0
Hostway International,16,5,LocalSearch,0.0,0.0,0.0
Hostway International,16,5,Betweenness,2073.29,0.0,0.0
Hostway International,16,5,HighDegree,35323.31,0.0,0.0
Hostway International,16,5,Random,0.0,0.0,0.0
KentMan,16,1,Greedy,212.18,0.0,0.0
KentMan,16,1,LocalSearch,212.18,0.0,0.0
KentMan,16,1,Betweenness,236.82,11.61,0.0
KentMan,16,1,HighDegree,236.82,11.61,0.0
KentMan,16,1,Random,212.18,0.0,0.0
KentMan,16,3,Greedy,16.37,102.93,0.0
KentMan,16,3,LocalSearch,8.07,0.0,0.0
KentMan,16,3,Betweenness,13.58,68.38,0.0
KentMan,16,3,HighDegree,13.58,68.38,0.0
KentMan,16,3,Random,12.72,57.7,0.0
KentMan,16,5,Greedy,3.75,78.53,0.0
KentMan,16,5,LocalSearch,2.1,0.0,0.0
KentMan,16,5,Betweenness,4.52,114.82,0.0
KentMan,16,5,HighDegree,12.92,514.55,0.0
KentMan,16,5,Random,2.1,0.0,0.0
MARWAN,16,1,Greedy,662.65,0.0,0.0
MARWAN,16,1,LocalSearch,662.65,0.0,0.0
MARWAN,16,1,Betweenness,662.65,0.0,0.0
MARWAN,16,1,HighDegree,662.65,0.0,0.0
MARWAN,16,1,Random,662.65,0.0,0.0
MARWAN,16,3,Greedy,30.9,0.0,0.0
MARWAN,16,3,LocalSearch,30.9,0.0,0.0
MARWAN,16,3,Betweenness,662.65,2044.57,0.0
MARWAN,16,3,HighDegree,662.65,2044.57,0.0
MARWAN,16,3,Random,30.9,0.0,0.0
MARWAN,16,5,Greedy,1.47,0.0,0.0
MARWAN,16,5,LocalSearch,1.47,0.0,0.0
MARWAN,16,5,Betweenness,644.81,43727.93,0.0
MARWAN,16,5,HighDegree,30.9,2000.22,0.0
MARWAN,16,5,Random,12.23,731.33,0.0
peer1,16,1,Greedy,12619.83,0.0,0.0
peer1,16,1,LocalSearch,12619.83,0.0,0.0
peer1,16,1,Betweenness,12619.83,0.0,0.0
peer1,16,1,HighDegree,15503.96,22.85,0.0
peer1,16,1,Random,12619.83,0.0,0.0
peer1,16,3,Greedy,0.0,0.0,0.0
peer1,16,3,LocalSearch,0.0,0.0,0.0
peer1,16,3,Betweenness,10724.38,0.0,0.0
peer1,16,3,HighDegree,10724.38,0.0,0.0
peer1,16,3,Random,0.0,0.0,0.0
peer1,16,5,Greedy,0.0,0.0,0.0
peer1,16,5,LocalSearch,0.0,0.0,0.0
peer1,16,5,Betweenness,10724.38,0.0,0.0
peer1,16,5,HighDegree,10724.38,0.0,0.0
peer1,16,5,Random,0.0,0.0,0.0
RHnet,16,1,Greedy,627.79,0.0,0.0
RHnet,16,1,LocalSearch,627.79,0.0,0.0
RHnet,16,1,Betweenness,627.79,0.0,0.0
RHnet,16,1,HighDegree,627.79,0.0,0.0
RHnet,16,1,Random,627.79,0.0,0.0
RHnet,16,3,Greedy,18.2,0.0,0.0
RHnet,16,3,LocalSearch,18.2,0.0,0.0
RHnet,16,3,Betweenness,627.79,3349.34,0.0
RHnet,16,3,HighDegree,627.79,3349.34,0.0
RHnet,16,3,Random,18.2,0.0,0.0
RHnet,16,5,Greedy,0.0,0.0,0.0
RHnet,16,5,LocalSearch,0.0,0.0,0.0
RHnet,16,5,Betweenness,46.67,0.0,0.0
RHnet,16,5,HighDegree,46.67,0.0,0.0
RHnet,16,5,Random,18.2,0.0,0.0
FatMan,17,1,Greedy,642.26,0.0,0.0
FatMan,17,1,LocalSearch,642.26,0.0,0.0
FatMan,17,1,Betweenness,642.26,0.0,0.0
FatMan,17,1,HighDegree,642.26,0.0,0.0
FatMan,17,1,Random,642.26,0.0,0.0
FatMan,17,3,Greedy,123.28,0.0,0.0
FatMan,17,3,LocalSearch,123.28,0.0,0.0
FatMan,17,3,Betweenness,367.62,198.2,0.0
FatMan,17,3,HighDegree,367.62,198.2,0.0
FatMan,17,3,Random,123.28,0.0,0.0
FatMan,17,5,Greedy,13.11,0.0,0.0
FatMan,17,5,LocalSearch,13.11,0.0,0.0
FatMan,17,5,Betweenness,123.28,840.28,0.0
FatMan,17,5,HighDegree,238.12,1716.18,0.0
FatMan,17,5,Random,13.11,0.0,0.0
GoodNet,17,1,Greedy,8736.7,0.0,0.0
GoodNet,17,1,LocalSearch,8736.7,0.0,0.0
GoodNet,17,1,Betweenness,10690.35,22.36,0.0
GoodNet,17,1,HighDegree,12401.22,41.94,0.0
GoodNet,17,1,Random,8736.7,0.0,0.0
GoodNet,17,3,Greedy,244.51,0.0,0.0
GoodNet,17,3,LocalSearch,244.51,0.0,0.0
GoodNet,17,3,Betweenness,244.51,0.0,0.0
GoodNet,17,3,HighDegree,244.51,0.0,0.0
GoodNet,17,3,Random,534.44,118.58,0.0
GoodNet,17,5,Greedy,1.59,0.0,0.0
GoodNet,17,5,LocalSearch,1.59,0.0,0.0
GoodNet,17,5,Betweenness,244.51,15267.67,0.0
GoodNet,17,5,HighDegree,244.51,15267.67,0.0
GoodNet,17,5,Random,21.31,1239.51,0.0
Nextgen ,17,1,Greedy,4486.08,0.0,0.0
Nextgen ,17,1,LocalSearch,4486.08,0.0,0.0
Nextgen ,17,1,Betweenness,4486.08,0.0,0.0
Nextgen ,17,1,HighDegree,4938.87,10.09,0.0
Nextgen ,17,1,Random,4486.08,0.0,0.0
Nextgen ,17,3,Greedy,450.53,5.16,0.0
Nextgen ,17,3,LocalSearch,428.4,0.0,0.0
Nextgen ,17,3,Betweenness,3289.43,667.83,0.0
Nextgen ,17,3,HighDegree,1350.03,215.13,0.0
Nextgen ,17,3,Random,428.4,0.0,0.0
Nextgen ,17,5,Greedy,2.28,0.0,0.0
Nextgen ,17,5,LocalSearch,2.28,0.0,0.0
Nextgen ,17,5,Betweenness,1297.24,56697.93,0.0
Nextgen ,17,5,HighDegree,2.28,0.0,0.0
Nextgen ,17,5,Random,2.28,0.0,0.0
ANS,18,1,Greedy,10806.61,0.0,0.0
ANS,18,1,LocalSearch,10806.61,0.0,0.0
ANS,18,1,Betweenness,10806.61,0.0,0.001
ANS,18,1,HighDegree,11864.38,9.79,0.0
ANS,18,1,Random,10806.61,0.0,0.0
ANS,18,3,Greedy,1036.82,33.05,0.0
ANS,18,3,LocalSearch,779.25,0.0,0.0
ANS,18,3,Betweenness,9778.06,1154.81,0.0
ANS,18,3,HighDegree,9778.06,1154.81,0.0
ANS,18,3,Random,779.25,0.0,0.0
ANS,18,5,Greedy,0.0,0.0,0.0
ANS,18,5,LocalSearch,0.0,0.0,0.0
ANS,18,5,Betweenness,3971.69,0.0,0.0
ANS,18,5,HighDegree,3971.69,0.0,0.0
ANS,18,5,Random,8.27,0.0,0.0
ARPANET,18,1,Greedy,23268.29,0.0,0.0
ARPANET,18,1,LocalSearch,23268.29,0.0,0.0
ARPANET,18,1,Betweenness,23268.29,0.0,0.0
ARPANET,18,1,HighDegree,24538.53,5.46,0.0
ARPANET,18,1,Random,23268.29,0.0,0.0
ARPANET,18,3,Greedy,11.71,0.0,0.0
ARPANET,18,3,LocalSearch,11.71,0.0,0.0
ARPANET,18,3,Betweenness,278.54,2277.65,0.0
ARPANET,18,3,HighDegree,270.17,2206.24,0.0
ARPANET,18,3,Random,11.71,0.0,0.0
ARPANET,18,5,Greedy,0.0,0.0,0.0
ARPANET,18,5,LocalSearch,0.0,0.0,0.0
ARPANET,18,5,Betweenness,258.46,0.0,0.0
ARPANET,18,5,HighDegree,258.46,0.0,0.0
ARPANET,18,5,Random,0.0,0.0,0.0
BSONetworkSolutions,18,1,Greedy,3452.82,0.0,0.0
BSONetworkSolutions,18,1,LocalSearch,3452.82,0.0,0.0
BSONetworkSolutions,18,1,Betweenness,3644.77,5.56,0.0
BSONetworkSolutions,18,1,HighDegree,3485.57,0.95,0.0
BSONetworkSolutions,18,1,Random,3452.82,0.0,0.0
BSONetworkSolutions,18,3,Greedy,778.78,0.0,0.0
BSONetworkSolutions,18,3,LocalSearch,778.78,0.0,0.0
BSONetworkSolutions,18,3,Betweenness,2552.63,227.77,0.0
BSONetworkSolutions,18,3,HighDegree,2552.63,227.77,0.0
BSONetworkSolutions,18,3,Random,778.78,0.0,0.0
BSONetworkSolutions,18,5,Greedy,125.65,0.0,0.0
BSONetworkSolutions,18,5,LocalSearch,125.65,0.0,0.0
BSONetworkSolutions,18,5,Betweenness,619.2,392.78,0.0
BSONetworkSolutions,18,5,HighDegree,619.2,392.78,0.0
BSONetworkSolutions,18,5,Random,125.65,0.0,0.0
Hibernia Atlantic (N. Ireland),18,1,Greedy,636.82,0.0,0.0
Hibernia Atlantic (N. Ireland),18,1,LocalSearch,636.82,0.0,0.0
Hibernia Atlantic (N. Ireland),18,1,Betweenness,644.52,1.21,0.001
Hibernia Atlantic (N. Ireland),18,1,HighDegree,3067.05,381.62,0.0
Hibernia Atlantic (N. Ireland),18,1,Random,636.82,0.0,0.0
Hibernia Atlantic (N. Ireland),18,3,Greedy,147.95,203.84,0.0
Hibernia Atlantic (N. Ireland),18,3,LocalSearch,48.69,0.0,0.0
Hibernia Atlantic (N. Ireland),18,3,Betweenness,447.16,818.31,0.0
Hibernia Atlantic (N. Ireland),18,3,HighDegree,272.91,460.45,0.0
Hibernia Atlantic (N. Ireland),18,3,Random,48.69,0.0,0.0
Hibernia Atlantic (N. Ireland),18,5,Greedy,17.17,44.45,0.0
Hibernia Atlantic (N. Ireland),18,5,LocalSearch,11.89,0.0,0.0
Hibernia Atlantic (N. Ireland),18,5,Betweenness,196.18,1550.01,0.0
Hibernia Atlantic (N. Ireland),18,5,HighDegree,109.68,822.47,0.0
Hibernia Atlantic (N. Ireland),18,5,Random,11.89,0.0,0.0
Highwinds,18,1,Greedy,13239.65,0.0,0.0
Highwinds,18,1,LocalSearch,13239.65,0.0,0.0
Highwinds,18,1,Betweenness,13239.65,0.0,0.0
Highwinds,18,1,HighDegree,13239.65,0.0,0.0
Highwinds,18,1,Random,13239.65,0.0,0.0
Highwinds,18,3,Greedy,59.6,0.0,0.0
Highwinds,18,3,LocalSearch,59.6,0.0,0.0
Highwinds,18,3,Betweenness,13239.65,22114.33,0.0
Highwinds,18,3,HighDegree,11159.54,18624.19,0.0
Highwinds,18,3,Random,59.6,0.0,0.0
Highwinds,18,5,Greedy,0.0,0.0,0.0
Highwinds,18,5,LocalSearch,0.0,0.0,0.0
Highwinds,18,5,Betweenness,11159.54,0.0,0.001
Highwinds,18,5,HighDegree,11159.54,0.0,0.0
Highwinds,18,5,Random,0.0,0.0,0.0
IBM,18,1,Greedy,11261.92,0.0,0.0
IBM,18,1,LocalSearch,11261.92,0.0,0.0
IBM,18,1,Betweenness,11261.92,0.0,0.0
IBM,18,1,HighDegree,11261.92,0.0,0.0
IBM,18,1,Random,11261.92,0.0,0.0
IBM,18,3,Greedy,424.09,0.0,0.0
IBM,18,3,LocalSearch,424.09,0.0,0.0
IBM,18,3,Betweenness,11261.92,2555.54,0.0
IBM,18,3,HighDegree,11261.92,2555.54,0.0
IBM,18,3,Random,424.09,0.0,0.0
IBM,18,5,Greedy,40.49,0.0,0.0
IBM,18,5,LocalSearch,40.49,0.0,0.0
IBM,18,5,Betweenness,1236.68,2954.52,0.0
IBM,18,5,HighDegree,11261.92,27716.13,0.0
IBM,18,5,Random,205.35,407.2,0.0
JGN2plus-Japan,18,1,Greedy,2000.85,0.0,0.0
JGN2plus-Japan,18,1,LocalSearch,2000.85,0.0,0.0
JGN2plus-Japan,18,1,Betweenness,2100.58,4.98,0.0
JGN2plus-Japan,18,1,HighDegree,2100.58,4.98,0.0
JGN2plus-Japan,18,1,Random,2000.85,0.0,0.0
JGN2plus-Japan,18,3,Greedy,587.87,0.0,0.0
JGN2plus-Japan,18,3,LocalSearch,587.87,0.0,0.0
JGN2plus-Japan,18,3,Betweenness,1433.05,143.77,0.0
JGN2plus-Japan,18,3,HighDegree,736.65,25.31,0.0
JGN2plus-Japan,18,3,Random,682.33,16.07,0.0
JGN2plus-Japan,18,5,Greedy,207.47,0.0,0.0
JGN2plus-Japan,18,5,LocalSearch,207.47,0.0,0.0
JGN2plus-Japan,18,5,Betweenness,720.36,247.22,0.0
JGN2plus-Japan,18,5,HighDegree,486.27,134.39,0.0
JGN2plus-Japan,18,5,Random,314.09,51.39,0.0
NORDU,18,1,Greedy,11.64,0.0,0.0
NORDU,18,1,LocalSearch,11.64,0.0,0.0
NORDU,18,1,Betweenness,2413.79,20643.8,0.0
NORDU,18,1,HighDegree,2413.79,20643.8,0.0
NORDU,18,1,Random,11.64,0.0,0.0
NORDU,18,3,Greedy,0.0,0.0,0.0
NORDU,18,3,LocalSearch,0.0,0.0,0.0
NORDU,18,3,Betweenness,365.99,0.0,0.0
NORDU,18,3,HighDegree,365.99,0.0,0.0
NORDU,18,3,Random,0.0,0.0,0.0
NORDU,18,5,Greedy,0.0,0.0,0.0
NORDU,18,5,LocalSearch,0.0,0.0,0.0
NORDU,18,5,Betweenness,0.0,0.0,0.0
NORDU,18,5,HighDegree,154.51,0.0,0.0
NORDU,18,5,Random,0.0,0.0,0.0
Pacific-Wave,18,1,Greedy,7789.41,0.0,0.0
Pacific-Wave,18,1,LocalSearch,7789.41,0.0,0.0
Pacific-Wave,18,1,Betweenness,9901.6,27.12,0.0
Pacific-Wave,18,1,HighDegree,9901.6,27.12,0.0
Pacific-Wave,18,1,Random,7789.41,0.0,0.0
Pacific-Wave,18,3,Greedy,477.97,0.0,0.0
Pacific-Wave,18,3,LocalSearch,477.97,0.0,0.0
Pacific-Wave,18,3,Betweenness,668.14,39.79,0.0
Pacific-Wave,18,3,HighDegree,668.14,39.79,0.0
Pacific-Wave,18,3,Random,478.35,0.08,0.0
Pacific-Wave,18,5,Greedy,206.32,0.0,0.0
Pacific-Wave,18,5,LocalSearch,206.32,0.0,0.0
Pacific-Wave,18,5,Betweenness,668.14,223.84,0.0
Pacific-Wave,18,5,HighDegree,668.14,223.84,0.0
Pacific-Wave,18,5,Random,378.74,83.57,0.0
Sago,18,1,Greedy,2796.18,0.0,0.0
Sago,18,1,LocalSearch,2796.18,0.0,0.0
Sago,18,1,Betweenness,2796.18,0.0,0.0
Sago,18,1,HighDegree,2796.18,0.0,0.0
Sago,18,1,Random,2796.18,0.0,0.0
Sago,18,3,Greedy,21.81,0.0,0.0
Sago,18,3,LocalSearch,21.81,0.0,0.0
Sago,18,3,Betweenness,1516.25,6852.16,0.0
Sago,18,3,HighDegree,2172.66,9861.89,0.0
Sago,18,3,Random,21.81,0.0,0.0
Sago,18,5,Greedy,0.0,0.0,0.0
Sago,18,5,LocalSearch,0.0,0.0,0.0
Sago,18,5,Betweenness,623.52,0.0,0.0
Sago,18,5,HighDegree,2172.66,0.0,0.0
Sago,18,5,Random,0.0,0.0,0.0
AARNET,19,1,Greedy,6103.62,0.0,0.0
AARNET,19,1,LocalSearch,6103.62,0.0,0.0
AARNET,19,1,Betweenness,6449.51,5.67,0.0
AARNET,19,1,HighDegree,6449.51,5.67,0.0
AARNET,19,1,Random,6103.62,0.0,0.0
AARNET,19,3,Greedy,1128.17,162.04,0.0
AARNET,19,3,LocalSearch,430.54,0.0,0.0
AARNET,19,3,Betweenness,2894.19,572.22,0.001
AARNET,19,3,HighDegree,3464.12,704.6,0.0
AARNET,19,3,Random,430.54,0.0,0.0
AARNET,19,5,Greedy,103.99,11.23,0.0
AARNET,19,5,LocalSearch,93.49,0.0,0.0
AARNET,19,5,Betweenness,1774.47,1797.97,0.0
AARNET,19,5,HighDegree,3370.63,3505.23,0.0
AARNET,19,5,Random,208.24,122.73,0.0
EasyNet ,19,1,Greedy,20146.74,0.0,0.0
EasyNet ,19,1,LocalSearch,20146.74,0.0,0.0
EasyNet ,19,1,Betweenness,20146.74,0.0,0.0
