topology,nodes,edges,avg_degree,density,max_betweenness,num_exits,k,greedy_obj,ls_obj,best_obj,greedy_time,ls_time
Sago,18,17,1.89,0.1111,0.6618,3,3,21.81,21.81,21.81,0.0,0.0
AARNET,19,24,2.53,0.1404,0.4535,4,3,1128.17,430.54,430.54,0.0,0.0
EasyNet ,19,26,2.74,0.152,0.5365,6,3,604.65,604.65,604.65,0.0,0.0
InternetMCI,19,33,3.47,0.193,0.2455,4,3,20.13,20.13,20.13,0.0,0.0
Noel Communications ,19,25,2.63,0.1462,0.5489,4,3,70.12,70.12,70.12,0.0,0.0
RedIris,19,31,3.26,0.1813,0.6471,4,3,155.29,155.29,155.29,0.0,0.0
Restena,19,21,2.21,0.1228,0.5915,9,3,7.82,7.79,7.79,0.0,0.0
Savvis,19,20,2.11,0.117,0.4771,4,3,322.09,322.09,322.09,0.0,0.0
BT Asia-Pacific,20,31,3.1,0.1632,0.5645,6,3,4403.53,2205.05,2205.05,0.0,0.0
Electric Lightwave,20,30,3.0,0.1579,0.3696,4,3,1447.37,1447.37,1447.37,0.0,0.0
Janet Lense,20,34,3.4,0.1789,0.4386,3,3,18.0,18.0,18.0,0.0,0.0
MARNET,20,27,2.7,0.1421,0.7982,10,3,5.07,5.07,5.07,0.0,0.001
Oxford,20,26,2.6,0.1368,0.6335,4,3,30.34,30.34,30.34,0.0,0.0
Quest ,20,31,3.1,0.1632,0.3908,4,3,3245.24,2897.34,2897.34,0.0,0.0
TWAREN,20,20,2.0,0.1053,0.5877,16,3,36.85,29.8,29.8,0.0,0.0
ATMnet,21,22,2.1,0.1048,0.4711,5,3,1381.36,1381.36,1381.36,0.0,0.0
BELNET,21,24,2.29,0.1143,0.5079,5,3,90.36,90.36,90.36,0.0,0.0
BELNET,21,24,2.29,0.1143,0.5079,5,3,90.36,90.36,90.36,0.0,0.0
BELNET,21,24,2.29,0.1143,0.5079,5,3,81.23,81.23,81.23,0.0,0.0
GTS Romania,21,24,2.29,0.1143,0.6763,10,3,181.85,181.85,181.85,0.0,0.0
HARNET,21,23,2.19,0.1095,0.5991,12,3,33.69,18.64,18.64,0.0,0.0
Packet Exchange,21,27,2.57,0.1286,0.4526,5,3,3622.03,3622.03,3622.03,0.0,0.0
Azrena,22,21,1.91,0.0909,0.8048,14,3,38.52,38.52,38.52,0.0,0.0
Bandcon ,22,28,2.55,0.1212,0.396,5,3,0.0,0.0,0.0,0.0,0.0
BELNET,22,25,2.27,0.1082,0.5183,5,3,24.53,24.53,24.53,0.0,0.0
GARR,22,24,2.18,0.1039,0.5667,18,3,271.29,271.29,271.29,0.0,0.0
GARR,22,24,2.18,0.1039,0.5,18,3,281.57,281.57,281.57,0.0,0.0
Hibernia Atlantic (US),22,29,2.64,0.1255,0.4394,3,3,0.0,0.0,0.0,0.0,0.0
AboveNet,23,31,2.7,0.1225,0.3052,5,3,1549.74,1549.74,1549.74,0.0,0.0
ACOnet,23,31,2.7,0.1225,0.4134,5,3,4.5,4.5,4.5,0.0,0.0
BELNET,23,39,3.39,0.1542,0.3939,5,3,6.99,6.99,6.99,0.0,0.0
BELNET,23,39,3.39,0.1542,0.3939,5,3,6.99,6.99,6.99,0.0,0.0
BELNET,23,41,3.57,0.1621,0.3939,3,3,0.0,0.0,0.0,0.0,0.0
BELNET,23,41,3.57,0.1621,0.3939,3,3,0.0,0.0,0.0,0.0,0.0
CESNET,23,23,2.0,0.0909,0.8831,16,3,96.13,96.13,96.13,0.0,0.0
FCCN,23,25,2.17,0.0988,0.7035,16,3,461.34,248.0,248.0,0.0,0.0
GARR,23,25,2.17,0.0988,0.4805,19,3,261.12,261.12,261.12,0.0,0.001
GARR,23,25,2.17,0.0988,0.4805,19,3,292.24,292.24,292.24,0.0,0.001
iSTAR,23,23,2.0,0.0909,0.5152,16,3,871.88,769.32,769.32,0.0,0.0
KentMan,23,23,2.0,0.0909,0.5541,14,3,0.0,0.0,0.0,0.0,0.0
YorkDataServices,23,24,2.09,0.0949,0.3658,3,3,0.0,0.0,0.0,0.0,0.0
BT Europe,24,37,3.08,0.1341,0.5026,7,3,247.13,247.13,247.13,0.0,0.0
GARR,24,26,2.17,0.0942,0.5257,20,3,315.32,300.26,300.26,0.0,0.0
Hurricane Electric ,24,37,3.08,0.1341,0.4171,7,3,9242.08,7647.31,7647.31,0.0,0.0
PsiNet,24,25,2.08,0.0906,0.4704,6,3,2391.68,2329.51,2329.51,0.0,0.0
Renater,24,23,1.92,0.0833,0.8972,13,3,545.12,545.12,545.12,0.0,0.0
Renater,24,27,2.25,0.0978,0.668,10,3,371.65,356.19,356.19,0.0,0.0
URAN,24,24,2.0,0.087,0.834,11,3,549.54,501.92,501.92,0.0,0.0
Vision Net,24,23,1.92,0.0833,0.6798,8,3,925.42,470.03,470.03,0.0,0.0
Xeex,24,34,2.83,0.1232,0.5242,5,3,1797.01,1196.9,1196.9,0.0,0.0
AGIS,25,30,2.4,0.1,0.4321,9,3,2391.93,1192.91,1192.91,0.0,0.0
AMRES,25,24,1.92,0.08,0.75,12,3,214.23,166.09,166.09,0.0,0.0
ARPANET,25,28,2.24,0.0933,0.3617,5,3,821.34,546.41,546.41,0.0,0.0
ATT North America,25,56,4.48,0.1867,0.3156,5,3,1117.77,1088.63,1088.63,0.0,0.0
KAREN,25,28,2.24,0.0933,0.5417,12,3,269.68,269.68,269.68,0.0,0.0
Uni-C,25,27,2.16,0.09,0.5435,9,3,154.06,122.78,122.78,0.0,0.0
VinaREN,25,26,2.08,0.0867,0.6413,17,3,2483.42,2315.16,2315.16,0.0,0.0
FUNET,26,30,2.31,0.0923,0.3317,3,3,58.3,58.3,58.3,0.0,0.0
KentMan,26,27,2.08,0.0831,0.5811,18,3,39.25,19.81,19.81,0.0,0.0
OPTOSUNET,26,32,2.46,0.0985,0.3733,6,3,826.99,512.8,512.8,0.0,0.0
BBNplanet,27,28,2.07,0.0798,0.4631,17,3,2313.51,1992.01,1992.01,0.0,0.0
